Limits
PT-TI-01,PT-GG-01,PT-H2-03,PT-O2-04,PT-O2-05,PT-N2-02,PT-N2-07,PT-FU-01
-1,325,-1,-1,-1,-1,-1,-1
Sequence
Timestamp (ms),SN-H2-01,SN-O2-01,SN-O2-02,SN-N2-01,SN-N2-02,SN-N2-03,SN-N2-04,SN-N2-07,SN-FU-01,Spark Plug
0,0,0,0,0,0,0,1,0,0,0
500,0,0,0,1,1,1,1,0,0,0
1000,0,0,0,0,0,0,1,0,0,0
1850,0,0,0,0,0,0,1,0,0,1
1950,1,0,0,0,0,0,1,0,0,1
2000,1,1,0,0,0,0,1,0,0,1
2250,1,1,0,0,0,0,1,0,0,1
2260,CHECKPSI,PT-TI-01,100
2300,1,1,0,0,0,0,1,0,0,0
2470,1,1,1,0,0,0,1,0,1,0
2950,1,1,1,1,0,0,1,0,1,0
3000,1,0,1,1,0,0,1,0,1,0
3050,0,0,1,1,0,0,1,0,1,0
3100,0,0,1,0,0,0,1,0,1,0
3500,0,0,0,0,1,0,1,0,1,0
3550,0,0,0,0,1,1,1,0,1,0
3600,0,0,0,0,1,1,1,0,0,0
4000,0,0,0,0,0,0,1,0,0,0
5300,0,0,0,1,1,1,1,0,0,0
6300,0,0,0,0,0,0,1,0,0,0
